,ric
641,FR0013533254=
642,FR0013532967=
643,FR0013513645=
644,FR0013246626=
645,FR0013257185=
646,FR0011170091=
647,FR0013327434=
648,FR0011625482=
649,FR0011891258=
650,FR0011108869=
651,FR206713542=
652,FR0013457025=
653,FR209954648=
654,FR210412018=
655,FR0013479128=
656,FR0013480167=
657,FR0013481876=
658,FR0010975656=
659,FR0010981746=
660,FR0011055821=
661,FR0011215938=
662,FR0011261080=
663,FR0011318120=
664,FR0011339753=
665,FR0011510593=
666,FR0011559145=
667,FR0011659366=
668,FR0011780808=
669,FR0013413960=
670,FR0013493426=
671,FR0013494937=
672,FR0013509718=PA
673,FR0013515012=TE
674,FR0013515020=TE
675,FR0013520418=TE
676,FR0013524642=
677,FR0013525730=
678,FR0013525722=
679,JP224138709=
680,JP224138725=
681,JP169190992=
682,JP188657761=
683,JP180190562=
684,JP204963002=
685,JP204963088=
686,JP209835096=
687,JP223457967=
688,JP183910566=
689,JP162108751=
690,JP153157022=
691,JP169421978=
692,JP142602253=
693,JP199802500=
694,JP206639245=
695,GB218449522=
696,GB224801831=
697,GB218446400=
698,GB224184255=
699,GB217382122=
700,GB222902860=
701,GB222902878=
702,GB222902843=
703,GB217376319=
704,GB217376335=
705,GB214969599=
706,DEBC0KWT=
707,GB221553390=
708,GB221553381=
709,GB221553373=
710,GB221384857=
711,GB214966808=
712,GB214967111=
713,GB214966697=
714,GB221013476=
715,GB214961954=
716,GB107521879=
717,GB193122574=
718,IT672937=
719,XS2096454918=TE
720,XS2112332577=TE
721,GB083369078=
722,GB103575176=
723,GB215233863=
724,GB217478421=
725,XS2111141698=TE
726,GB219138709=
727,GB219184697=
728,GB219509251=
729,XS2196287143=TE
730,GB219395965=
731,GB220699030=
732,FR0111007045=
733,FR156270776=
734,FR117222861=
735,FR142610361=
736,FR00140003B3=
737,FR180833854=
738,FR154740783=
739,FR186108833=
740,FR163727757=
741,FR161441619=
742,FR174845697=
743,FR182353264=
744,FR179325241=
745,FR124031532=
746,FR0013405537=
747,FR195108846=
748,FR195050783=
